datetime,price_QLD1,demand_QLD1,demand_energy_QLD1
2024-01-10 08:00:00+10:00,45.5,6478.9683,6487.38
2024-01-10 09:00:00+10:00,31.633333,6318.4008,6323.9
2024-01-10 10:00:00+10:00,47.848333,6357.9942,6351.32
2024-01-10 11:00:00+10:00,60.051667,6563.6217,6543.92
2024-01-10 12:00:00+10:00,69.4275,6889.9467,6891.11
2024-01-10 13:00:00+10:00,83.1375,7131.9908,7109.07
2024-01-10 14:00:00+10:00,96.764167,7598.9692,7584.81
2024-01-10 15:00:00+10:00,95.220833,7985.3842,7957.5
2024-01-10 16:00:00+10:00,111.20583,8818.4992,8784.47
2024-01-10 17:00:00+10:00,205.06333,9198.1342,9199.76
2024-01-10 18:00:00+10:00,226.04583,9149.39,9151.5
2024-01-10 19:00:00+10:00,200.60167,9032.565,9043.77
2024-01-10 20:00:00+10:00,125.24417,8672.3617,8690.3
2024-01-10 21:00:00+10:00,108.14417,8084.3817,8111.51
2024-01-10 22:00:00+10:00,88.536667,7462.945,7486.9
2024-01-10 23:00:00+10:00,91.198333,6971.2158,6992.32
2024-01-11 00:00:00+10:00,86.2825,6552.7217,6563.9
2024-01-11 01:00:00+10:00,75.58,6317.6933,6327.59
2024-01-11 02:00:00+10:00,63.0975,6148.56,6151.82
2024-01-11 03:00:00+10:00,62.189167,6040.7933,6043.48
2024-01-11 04:00:00+10:00,74.545,6070.335,6073.1
2024-01-11 05:00:00+10:00,92.761667,6179.0475,6170.04
2024-01-11 06:00:00+10:00,58.3275,6284.8575,6279.1
2024-01-11 07:00:00+10:00,79.490833,6444.925,6439.84
2024-01-11 08:00:00+10:00,83.451667,6501.4058,6504.96
2024-01-11 09:00:00+10:00,70.91,6398.2033,6393.93
2024-01-11 10:00:00+10:00,46.621667,6337.6483,6348.23
2024-01-11 11:00:00+10:00,39.0425,6154.6525,6155.35
2024-01-11 12:00:00+10:00,55.173333,6339.0267,6333.46
2024-01-11 13:00:00+10:00,46.776667,6424.565,6420.67
2024-01-11 14:00:00+10:00,55.828333,6593.2192,6580.83
