Datetime,AC_Power,Price,Battery_State_kWh,Charge_kwh,Discharge_kwh,Revenue_$,Cumulative_Revenue_$
2024-01-06 12:00:00,55.666,6.7516667,13.299999999570002,0.0,0.0,0.3758382785222,90.27688696150116
2024-01-06 13:00:00,53.891,28.965,13.299999999570002,0.0,0.0,1.5609528149999998,91.83783977650116
2024-01-06 14:00:00,50.822,12.035833,13.299999999570002,0.0,0.0,0.6116851047260001,92.44952488122716
2024-01-06 15:00:00,38.431,40.5825,13.299999999570002,0.0,0.0,1.5596260575,94.00915093872716
2024-01-06 16:00:00,28.226,52.948333,13.299999999570002,0.0,0.0,1.4945196472579998,95.50367058598516
2024-01-06 17:00:00,21.311,76.815833,13.299999999570002,0.0,0.0,1.637022217063,97.14069280304817
2024-01-06 18:00:00,14.511,98.515833,13.299999999570002,0.0,0.0,1.429563252663,98.57025605571117
2024-01-06 19:00:00,7.487,93.931667,13.299999999570002,0.0,0.0,0.703266390829,99.27352244654017
2024-01-06 20:00:00,0.0,79.786667,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-06 21:00:00,0.0,78.8525,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-06 22:00:00,0.0,82.0625,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-06 23:00:00,0.0,75.176667,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 00:00:00,0.0,62.286667,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 01:00:00,0.0,62.4225,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 02:00:00,0.0,61.803333,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 03:00:00,0.0,59.168333,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 04:00:00,0.0,55.838333,13.299999999570002,0.0,0.0,0.0,99.27352244654017
2024-01-07 05:00:00,8.673,51.190833,13.299999999570002,0.0,0.0,0.443978094609,99.71750054114916
2024-01-07 06:00:00,13.539,18.24,13.299999999570002,0.0,0.0,0.24695135999999995,99.96445190114916
2024-01-07 07:00:00,22.183,-18.333333,13.299999999570002,0.0,0.0,-0.406688325939,99.55776357521016
2024-01-07 08:00:00,31.098,-29.205833,13.299999999570002,0.0,0.0,-0.9082429946339999,98.64952058057617
2024-01-07 09:00:00,38.268,-22.683333,13.299999999570002,0.0,0.0,-0.8680457872440001,97.78147479333217
2024-01-07 10:00:00,51.407,-9.2583333,13.299999999957,4.2999914739993983e-10,0.0,-0.4759431399491189,97.30553165338304
2024-01-07 11:00:00,56.749,-14.821667,13.2999999999957,4.300027001136186e-11,0.0,-0.8411147805823627,96.46441687280068
2024-01-07 12:00:00,53.819,0.8225,13.2999999999957,0.0,0.0,0.0442661275,96.50868300030068
2024-01-07 13:00:00,50.756,8.5166667,13.2999999999957,0.0,0.0,0.4322719350252,96.94095493532588
2024-01-07 14:00:00,47.859,28.679167,13.2999999999957,0.0,0.0,1.372556253453,98.31351118877888
2024-01-07 15:00:00,40.516,44.833333,13.2999999999957,0.0,0.0,1.816467319828,100.12997850860688
2024-01-07 16:00:00,29.719,68.87,13.2999999999957,0.0,0.0,2.04674753,102.17672603860689
2024-01-07 17:00:00,22.086,80.925833,13.2999999999957,0.0,0.0,1.7873279476379997,103.96405398624489
2024-01-07 18:00:00,13.649,116.49083,13.2999999999957,0.0,0.0,1.58998333867,105.55403732491489
2024-01-07 19:00:00,8.089,105.8525,13.2999999999957,0.0,0.0,0.8562408725000001,106.41027819741488
2024-01-07 20:00:00,0.0,96.2375,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-07 21:00:00,0.0,90.106667,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-07 22:00:00,0.0,90.8675,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-07 23:00:00,0.0,87.313333,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 00:00:00,0.0,85.208333,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 01:00:00,0.0,85.278333,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 02:00:00,0.0,72.878333,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 03:00:00,0.0,66.003333,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 04:00:00,0.0,66.245,13.2999999999957,0.0,0.0,0.0,106.41027819741488
2024-01-08 05:00:00,7.487,70.293333,13.2999999999957,0.0,0.0,0.526286184171,106.93656438158588
2024-01-08 06:00:00,14.143,68.16,13.2999999999957,0.0,0.0,0.96398688,107.90055126158587
2024-01-08 07:00:00,20.506,61.794167,13.2999999999957,0.0,0.0,1.267151188502,109.16770245008787
2024-01-08 08:00:00,28.48,61.3875,13.2999999999957,0.0,0.0,1.748316,110.91601845008788
2024-01-08 09:00:00,39.948,62.065833,13.2999999999957,0.0,0.0,2.479405896684,113.39542434677188
2024-01-08 10:00:00,51.303,54.838333,13.29999999999957,4.300559908188006e-12,0.0,2.813370997898764,116.20879534467063
2024-01-08 11:00:00,60.458,41.880833,13.299999999999958,4.298783551348606e-13,0.0,2.532031401513982,118.74082674618461
2024-01-08 12:00:00,55.425,46.4725,13.299999999999958,0.0,0.0,2.5757383124999995,121.3165650586846
2024-01-08 13:00:00,60.24,64.553333,13.299999999999958,0.0,0.0,3.88869277992,125.20525783860461
2024-01-08 14:00:00,51.483,61.3625,13.299999999999958,0.0,0.0,3.1591255874999997,128.3643834261046
2024-01-08 15:00:00,38.416,97.083333,13.299999999999958,0.0,0.0,3.7295533205279994,132.0939367466326
2024-01-08 16:00:00,29.488,114.92917,13.299999999999958,0.0,0.0,3.3890313649599997,135.4829681115926
2024-01-08 17:00:00,19.304,122.42083,13.299999999999958,0.0,0.0,2.3632117023199997,137.8461798139126
